dt,observed,Mercedes_Level_32_1,Mercedes_Level_32_7,Mercedes_Level_32_15,Mercedes_Level_32_30,Mercedes_Level_160_1,Mercedes_Level_160_7,Mercedes_Level_160_15,Mercedes_Level_160_30,Mercedes_Level_224_1,Mercedes_Level_224_7,Mercedes_Level_224_15,Mercedes_Level_224_30,Mercedes_Level_352_1,Mercedes_Level_352_7,Mercedes_Level_352_15,Mercedes_Level_352_30,Mercedes_Level_384_1,Mercedes_Level_384_7,Mercedes_Level_384_15,Mercedes_Level_384_30,Mercedes_Level_480_1,Mercedes_Level_480_7,Mercedes_Level_480_15,Mercedes_Level_480_30
2015-09-02 07:00:00,2.65,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-03 07:00:00,2.35,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-04 07:00:00,2.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-05 07:00:00,2.08,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-06 07:00:00,1.76,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-07 07:00:00,1.63,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-08 07:00:00,1.83,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-09 07:00:00,1.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11 07:00:00,1.89,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-12 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-13 07:00:00,1.85,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14 07:00:00,1.47,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-16 07:00:00,1.45,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-17 07:00:00,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18 07:00:00,1.75,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-19 07:00:00,1.68,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-20 07:00:00,0.98,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-21 07:00:00,1.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-22 07:00:00,1.8,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23 07:00:00,2.04,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-24 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-25 07:00:00,2.1,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-26 07:00:00,2.21,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-27 07:00:00,2.05,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-28 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-29 07:00:00,2.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30 07:00:00,1.98,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01 07:00:00,2.05,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-02 07:00:00,2.4,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-03 07:00:00,2.93,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-04 07:00:00,3.08,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-05 07:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-06 07:00:00,3.7,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-07 07:00:00,4.13,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-08 07:00:00,3.8,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09 07:00:00,3.62,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-10 07:00:00,3.66,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-11 07:00:00,3.7,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-12 07:00:00,3.22,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-13 07:00:00,3.09,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14 07:00:00,2.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-15 07:00:00,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-16 07:00:00,3.05,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-17 07:00:00,3.15,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-18 07:00:00,3.0,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-19 07:00:00,2.95,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-20 07:00:00,2.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-21 07:00:00,2.9,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-22 07:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-23 07:00:00,3.58,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-24 07:00:00,3.7,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-25 07:00:00,3.58,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-26 07:00:00,3.5,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-27 07:00:00,3.3,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-28 07:00:00,3.03,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-29 07:00:00,2.9,,,,,,,,,,,,,,,,,,,,,,,,
